Country,Happiness Rank,Happiness Score,Economy (GDP per Capita),Health (Life Expectancy),Freedom
Denmark,1,7.526,1.44178,0.79504,0.57941
Switzerland,2,7.509,1.52733,0.86303,0.58557
Iceland,3,7.501,1.42666,0.86733,0.56624
Norway,4,7.498,1.57744,0.79579,0.59609
Finland,5,7.413,1.40598,0.81091,0.57104
Canada,6,7.404,1.44015,0.8276,0.5737
Netherlands,7,7.339,1.46468,0.81231,0.55211
New Zealand,8,7.334,1.36066,0.83096,0.58147
Australia,9,7.313,1.44443,0.8512,0.56837
Sweden,10,7.291,1.45181,0.83121,0.58218
Israel,11,7.267,1.33766,0.84917,0.36432
Austria,12,7.119,1.45038,0.80565,0.54355
United States,13,7.104,1.50796,0.779,0.48163
Costa Rica,14,7.087,1.06879,0.76146,0.55225
Puerto Rico,15,7.039,1.35943,0.77758,0.46823
Germany,16,6.994,1.44787,0.81487,0.53466
Brazil,17,6.952,1.08754,0.61415,0.40425
Belgium,18,6.929,1.42539,0.81959,0.51354
Ireland,19,6.907,1.48341,0.81455,0.54008
Luxembourg,20,6.871,1.69752,0.84542,0.5487
Mexico,21,6.778,1.11508,0.71143,0.37709
Singapore,22,6.739,1.64555,0.94719,0.4877
United Kingdom,23,6.725,1.40283,0.80991,0.50036
Chile,24,6.705,1.2167,0.81883,0.37789
Panama,25,6.701,1.18306,0.70835,0.48927
Argentina,26,6.65,1.15137,0.69711,0.42284
Czech Republic,27,6.596,1.30915,0.76376,0.41418
United Arab Emirates,28,6.573,1.57352,0.72993,0.56215
Uruguay,29,6.545,1.18157,0.72183,0.54388
Malta,30,6.488,1.30782,0.80315,0.54994
Colombia,31,6.481,1.03032,0.59659,0.44735
France,32,6.478,1.39488,0.83795,0.46562
Thailand,33,6.474,1.0893,0.64915,0.49553
Saudi Arabia,34,6.379,1.48953,0.59267,0.37904
Taiwan,34,6.379,1.39729,0.79565,0.32377
Qatar,36,6.375,1.82427,0.71723,0.56679
Spain,37,6.361,1.34253,0.87896,0.37545
Algeria,38,6.355,1.05266,0.61804,0.21006
Guatemala,39,6.324,0.83454,0.54039,0.50379
Suriname,40,6.269,1.09686,0.50933,0.52234
Kuwait,41,6.239,1.61714,0.63569,0.43166
Bahrain,42,6.218,1.44024,0.65696,0.47375
Trinidad and Tobago,43,6.168,1.32572,0.52608,0.48453
Venezuela,44,6.084,1.13367,0.61904,0.19847
Slovakia,45,6.078,1.27973,0.70367,0.23391
El Salvador,46,6.068,0.8737,0.596,0.37269
Malaysia,47,6.005,1.25142,0.62366,0.39031
Nicaragua,48,5.992,0.69384,0.65213,0.46582
Uzbekistan,49,5.987,0.73591,0.50163,0.60848
Italy,50,5.977,1.35495,0.85102,0.18827
Ecuador,51,5.976,0.97306,0.68613,0.4027
Belize,52,5.956,0.87616,0.45569,0.51231
Japan,53,5.921,1.38007,0.91491,0.46761
Kazakhstan,54,5.919,1.22943,0.57386,0.4052
Moldova,55,5.897,0.69177,0.52309,0.25202
Russia,56,5.856,1.23228,0.58991,0.32682
Poland,57,5.835,1.24585,0.69058,0.4519
South Korea,57,5.835,1.35948,0.88645,0.25168
Bolivia,59,5.822,0.79422,0.4697,0.50961
Lithuania,60,5.813,1.2692,0.64674,0.18929
Belarus,61,5.802,1.13062,0.63104,0.29091
North Cyprus,62,5.771,1.31141,0.84142,0.43596
Slovenia,63,5.768,1.29947,0.79151,0.53164
Peru,64,5.743,0.99602,0.62994,0.37502
Turkmenistan,65,5.658,1.08017,0.44006,0.37408
Mauritius,66,5.648,1.14372,0.66189,0.46145
Libya,67,5.615,1.06688,0.52304,0.40672
Latvia,68,5.56,1.21788,0.63952,0.27996
Cyprus,69,5.546,1.31857,0.8488,0.29507
Paraguay,70,5.538,0.89373,0.58295,0.46235
Romania,71,5.528,1.1697,0.67602,0.36712
Estonia,72,5.517,1.27964,0.68098,0.41511
Jamaica,73,5.51,0.89333,0.59469,0.43597
Croatia,74,5.488,1.18649,0.70524,0.23907
Hong Kong,75,5.458,1.5107,0.95277,0.48079
Somalia,76,5.44,0,0.11466,0.56778
Kosovo,77,5.401,0.90145,0.54,0.14396
Turkey,78,5.389,1.16492,0.64718,0.23889
Indonesia,79,5.314,0.95104,0.49374,0.39237
Jordan,80,5.303,0.99673,0.60712,0.36023
Azerbaijan,81,5.291,1.12373,0.54504,0.35327
Philippines,82,5.279,0.81217,0.47036,0.54854
China,83,5.245,1.0278,0.73561,0.44012
Bhutan,84,5.196,0.8527,0.49759,0.46074
Kyrgyzstan,85,5.185,0.56044,0.55449,0.40212
Serbia,86,5.177,1.03437,0.6458,0.15718
Bosnia and Herzegovina,87,5.163,0.93383,0.70766,0.09511
Montenegro,88,5.161,1.07838,0.63533,0.15111
Dominican Republic,89,5.155,1.02787,0.57669,0.52259
Morocco,90,5.151,0.84058,0.59471,0.25646
Hungary,91,5.145,1.24142,0.67608,0.1977
Pakistan,92,5.132,0.68816,0.40306,0.14622
Lebanon,93,5.129,1.12268,0.76171,0.26228
Portugal,94,5.123,1.27607,0.79363,0.44727
Macedonia,95,5.121,1.0193,0.64738,0.27668
Vietnam,96,5.061,0.74037,0.66157,0.55954
Somaliland Region,97,5.057,0.25558,0.33108,0.3913
Tunisia,98,5.045,0.97724,0.59577,0.23553
Greece,99,5.033,1.24886,0.80029,0.05822
Tajikistan,100,4.996,0.48835,0.53119,0.43408
Mongolia,101,4.907,0.98853,0.55469,0.35972
Laos,102,4.876,0.68042,0.38291,0.52168
Nigeria,103,4.875,0.75216,0.05108,0.27854
Honduras,104,4.871,0.69429,0.58383,0.26755
Iran,105,4.813,1.11758,0.64232,0.22544
Zambia,106,4.795,0.61202,0.23573,0.42662
Nepal,107,4.793,0.44626,0.50073,0.37012
Palestinian Territories,108,4.754,0.67024,0.56844,0.17744
Albania,109,4.655,0.9553,0.73007,0.31866
Bangladesh,110,4.643,0.54177,0.52989,0.39778
Sierra Leone,111,4.635,0.36485,0,0.30685
Iraq,112,4.575,1.07474,0.51076,0.24856
Namibia,113,4.574,0.93287,0.34745,0.48614
Cameroon,114,4.513,0.52497,0.12698,0.42736
Ethiopia,115,4.508,0.29283,0.34578,0.36703
South Africa,116,4.459,1.02416,0.18611,0.42483
Sri Lanka,117,4.415,0.97318,0.62007,0.50817
India,118,4.404,0.74036,0.45091,0.40285
Myanmar,119,4.395,0.34112,0.3988,0.42692
Egypt,120,4.362,0.95395,0.52116,0.18847
Armenia,121,4.36,0.86086,0.64083,0.14037
Kenya,122,4.356,0.52267,0.30147,0.40576
Ukraine,123,4.324,0.87287,0.58628,0.12859
Ghana,124,4.276,0.63107,0.29681,0.40973
Congo (Kinshasa),125,4.272,0.05661,0.188,0.15602
Georgia,126,4.252,0.83792,0.64035,0.32461
Congo (Brazzaville),127,4.236,0.77109,0.28212,0.37938
Senegal,128,4.219,0.44314,0.40457,0.31056
Bulgaria,129,4.217,1.11306,0.67806,0.21219
Mauritania,130,4.201,0.61391,0.28639,0.1268
Zimbabwe,131,4.193,0.35041,0.1595,0.25429
Malawi,132,4.156,0.08709,0.29364,0.4143
Sudan,133,4.139,0.63069,0.29759,0
Gabon,134,4.121,1.15851,0.3494,0.28098
Mali,135,4.073,0.31292,0.16347,0.27544
Haiti,136,4.028,0.34097,0.27494,0.12072
Botswana,137,3.974,1.09426,0.34752,0.44089
Comoros,138,3.956,0.27509,0.29981,0.15412
Ivory Coast,139,3.916,0.55507,0.04476,0.40663
Cambodia,140,3.907,0.55604,0.42494,0.58852
Angola,141,3.866,0.84731,0.04991,0.00589
Niger,142,3.856,0.1327,0.26162,0.38041
South Sudan,143,3.832,0.39394,0.15781,0.19662
Chad,144,3.763,0.42214,0.03824,0.12807
Burkina Faso,145,3.739,0.31995,0.21297,0.3337
Uganda,145,3.739,0.34719,0.19625,0.43653
Yemen,147,3.724,0.57939,0.31048,0.2287
Madagascar,148,3.695,0.27954,0.37109,0.13684
Tanzania,149,3.666,0.47155,0.357,0.3176
Liberia,150,3.622,0.10706,0.23165,0.25748
Guinea,151,3.607,0.22415,0.18829,0.30953
Rwanda,152,3.515,0.32846,0.31865,0.5432
Benin,153,3.484,0.39499,0.21028,0.39747
Afghanistan,154,3.36,0.38227,0.17344,0.1643
Togo,155,3.303,0.28123,0.24811,0.34678
Syria,156,3.069,0.74719,0.62994,0.06912
Burundi,157,2.905,0.06831,0.15747,0.0432
